id;title;original title;date;date circa;creator;creator info;place;city;state;country;type;medium;color;height;width;collection;description;license;latitude;longitude;altitude;heading;tilt;fov;media
0072430cx098-08;Teatro Municipal;;;1905/1915;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;"Centro; Cinelândia";Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Vista do Teatro Municipal, vendo-se a Escola Nacional de Belas Artes ao lado.;PD;-22.910045999999998;-43.175833000000004;9.7;-23.75;96.24;50.0;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx098-08.jpg
0072430cx097-12;Museu Nacional, antigo Palácio Imperial de São Cristóvão;;;1879/1889;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;"São Cristóvão; Quinta da Boa Vista";Rio de Janeiro;RJ;Brasil;COLÓDIO/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Ao longo do tempo, o Paço de São Cristóvão, que abriga hoje o Museu Nacional, sofreu diversas transformações, como a ampliação do palácio feita por D. Pedro II a partir de 1850. Lá ele viveu em um período de longa duração, tornando este edifício testemunha de diversos momentos importantes na História do Brasil.;PD;-22.903364;-43.223602;63.39;-136.47;91.38;41.6;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx097-12.jpg
0072430cx097-10;Santa Casa de Misericórdia;;;1875/1885;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;"Centro; Rua Santa Luzia";Rio de Janeiro;RJ;Brasil;COLÓDIO/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Prédio da Santa Casa de Misericórdia no centro do Rio de Janeiro, na Rua Santa Luzia.;PD;-22.907723;-43.170320000000004;9.74;-112.6;91.92;50.0;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx097-10.jpg
0072430cx097-09;Imprensa Nacional;;;1889/1899;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;"Centro; Rua Treze de Maio";Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Prédio da Imprensa Nacional, ao fundo o morro de Santo Antônio. Inaugurado em 1877, o prédio da Imprensa Nacional foi demolido em 1941. O projeto é assinado pelo arquiteto carioca Antonio de Paula Freitas.;PD;-22.90649800000001;-43.17799;18.85;-169.39;87.9;39.8;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx097-09.jpg
0072430cx097-06;Imprensa Nacional;;;1889/1899;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;"Centro; Rua Treze de Maio";Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Prédio da Imprensa Nacional, ao fundo o morro de Santo Antônio. Inaugurado em 1877, o prédio da Imprensa Nacional foi demolido em 1941. O projeto é assinado pelo arquiteto carioca Antonio de Paula Freitas.;PD;-22.906569;-43.178173;25.21;-172.23;86.06;45.4;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx097-06.jpg
0072430cx097-05;Palácio do Catete;;;1890/1900;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;Catete;Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Palácio do Catete, atual Museu da República, que já foi sede do poder executivo nacional entre 1897 e 1960.;PD;-22.92607000000001;-43.17678;19.39;75.72;88.56;67.6;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx097-05.jpg
0072430cx069-10;Jardim Botânico;;;1885/1895;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;;Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Jardim Botânico do Rio de Janeiro, instituição fundada em 1808.;PD;-22.926005;-43.173867;8.99;-110.76;89.22;50.0;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx069-10.jpg
0072430cx069-08;Gruta do Palácio do Catete;;;1885/1895;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;Catete;Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Palácio do Catete, atual Museu da República, que já foi sede do poder executivo nacional entre 1897 e 1960.;PD;-22.926084;-43.175431;8.86;160.52;93.13;50.0;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx069-08.jpg
0072430cx069-07;Jardim do Palácio do Catete;;;1885/1895;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;Catete;Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Palácio do Catete, atual Museu da República, que já foi sede do poder executivo nacional entre 1897 e 1960.;PD;-22.92596;-43.173456;8.45;-107.94;90.85;38.8;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx069-07.jpg
0072430cx069-06;Jardim do Palácio do Catete - chafariz com escultura;;;1885/1895;Marc Ferrez;Nascido em 1843 no Rio de Janeiro, Marc Ferrez, filho de franceses, registrou meio século de  transformações ocorridas no país. Do Império à República retratou eventos históricos e projetos emblemáticos de reconhecimento do território e da modernização do país. Nas últimas duas décadas de sua vida experimentou a fotografia em cores e dedicou-se ao negócio do cinema, ao lado dos filhos, tornando-se um dos principais distribuidores e difusores da nova arte no Brasil. Após residir na França de 1915 a 1922, com um curto intervalo no Brasil em 1920, faleceu no Rio de Janeiro em 1923.;Catete;Rio de Janeiro;RJ;Brasil;GELATINA/ Prata;NEGATIVO/ Vidro;P&B;24.0;30.0;Coleção Gilberto Ferrez;Palácio do Catete, atual Museu da República, que já foi sede do poder executivo nacional entre 1897 e 1960.;PD;-22.925798;-43.1745;9.2;125.86;89.52;50.0;https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/0072430cx069-06.jpg
