id,nome,dia_ini,mes_ini,ano_ini,dia_fim,mes_fim,ano_fim
8059,"Canteiro de Obras do Circo Voador",20,9,2002,20,10,2002
8074,"São ou Não São Gravuras?",19,9,2002,5,10,2002
16387,"Aleijadinho e Mestre Piranga: imagens da Coleção Renato Whitaker",7,12,2002,19,1,2003
16621,"Individual de Beatriz Carvalho",11,9,2002,20,10,2002
16701,Sidaids,7,12,2002,5,1,2003
16717,"O Corpo Invisível",11,12,2002,30,12,2002
16719,"2º Salão de Fotografia do CCBEU",NULL,NULL,1997,NULL,NULL,1997
17303,"Noturnos São Paulo",24,9,2002,19,10,2002
17410,"Individual de Célia Euvaldo",24,9,2002,18,10,2002
17423,"9ª Exposição Brasil-Japão de Arte Contemporânea",15,6,1990,30,6,1990
17844,"16º Salão Nacional de Artes Plásticas",13,1,1998,15,2,1998
17848,"Noviembre Publico",2,11,2002,6,12,2002
17873,"3º Studio Internacional de Tecnologias de Imagem",26,10,1993,5,12,1993
17876,"Santos Quase Todos",13,4,2002,12,5,2002
18004,"4ª Bienal Nacional de Santos",1,10,1993,31,10,1993
18013,"1º Salão Nacional de Arte Contemporânea da UFRGS",14,11,1990,14,12,1990
18212,"Individual de Albano Afonso",11,9,2002,20,10,2002
18785,"1ª Bienal de Artes Visuais do Mercosul ",2,10,1997,30,11,1997
19541,"Individual de Débora Ando ",11,9,2002,20,10,2002
20788,"Realidades Construídas: do pictorialismo à fotografia moderna",23,8,2001,11,10,2001
21105,"10ª Documenta ",21,6,1997,28,9,1997
22664,"Feira ",15,12,2002,26,1,2002
22796,"Individual de Fulvio Pennacchi",NULL,NULL,2002,10,10,2002
22896,"Medidas de Si",5,3,1998,15,3,1998
23024,"11º Salão Nacional de Artes Plásticas",8,11,1989,5,1,1990
24973,"13º Salão de Arte Contemporânea de Campinas",23,4,1988,25,6,1988
24986,"Individual de Marcelo Coutinho",20,9,2002,6,10,2002
25083,"3º Salão Nacional de Arte Religiosa",29,5,1992,29,6,1992
25436,"5ª Bienal de Havana",6,5,1994,30,6,1994
25514,"Os Sete Baluartes do Abstracionismo Brasileiro",28,9,2002,2,11,2002
25515,"Cores e Contrastes",17,9,2002,30,9,2002
25534,"41º Salão de Abril",30,4,1990,31,5,1990
80049,"Investigações: o trabalho do artista ",16,6,2000,24,9,2000
80050,"Fluxos Urbanos (1998 : São Paulo, SP)",5,8,1998,6,9,1998
80093,"Latin-American Drawings Today",16,3,1991,28,4,1991
80094,"Cotidiano/Arte. Objeto Anos 60/90 ",16,6,1999,8,8,1999
80098,"Out of Actions Between Performance and the Object: 1949-1979",17,6,1998,6,9,1998
80105,"Rumos Itaú Cultural Artes Visuais. Deslocamentos",18,1,2001,11,3,2001
80115,"Cotidiano/Arte. O Consumo (1999 : São Paulo, SP)",19,11,1999,6,2,2000
80116,"Cotidiano/Arte. A Técnica ",24,8,1999,24,10,1999
80117,"Arte e Tecnologia",23,9,1997,26,10,1997
80118,"Amazônicas (1998 : São Paulo, SP)",10,6,1998,19,7,1998
80119,"United Artists V: Viagens de Identidades",18,5,1999,11,7,1999
80135,"Crônicas Urbanas (1998 : São Paulo, SP)",22,1,1998,22,2,1998
80138,"1º Sesc Escultura: exposição internacional de esculturas ao ar livre",NULL,9,1996,NULL,3,1997
80210,"Individual de Isaura Pena",7,5,2003,5,5,2003
80211,"Individual de Eduardo Sued ",12,6,2003,1,8,2003
80221,"20ª Bienal Internacional de São Paulo",14,10,1989,10,12,1989
80222,"21ª Bienal Internacional de São Paulo",21,9,1991,10,12,1991
80223,"22ª Bienal Internacional de São Paulo",12,10,1994,11,12,1994
80224,"23ª Bienal Internacional de São Paulo",5,10,1996,8,12,1996
80235,"24ª Bienal Internacional de São Paulo",3,10,1998,13,12,1998
80262,"Poetas do Espaço e da Cor",31,1,1997,9,3,1997
80270,"Luz Negra",18,9,2002,18,10,2002
80276,"Individual de Beatriz Milhazes",NULL,9,1993,NULL,NULL,1993
80301,"10 Mil Pássaros Migratórios ",9,11,2002,19,11,2002
80305,"A Cidade dos Artistas",14,8,1997,21,9,1997
80325,"Pintura dos Anos 80",8,11,2002,25,1,2003
80326,"Individual de Marcelo Grassmann",13,11,2002,29,12,2002
80356,"Individual de Fernanda Mendes",1,8,2002,25,8,2002
80374,"Rumos Itaú Cultural Artes Visuais. Tempo, Corpo, Corpo, Meio (2000 : Belo Horizonte, MG)",17,10,2000,17,11,2000
80375,"Rumos Itaú Cultural Artes Visuais. Deslocamentos (2000 : Recife, PE)",5,10,2000,3,11,2000
80533,"Individual de Fabio Miguez",1,8,2002,25,8,2002
80563,"43ª Bienal de Veneza",26,6,1988,25,9,1988
80569,"Seu Marido",8,11,2002,16,3,2003
80665,"Janelas e Fitas",8,11,2002,16,3,2003
80703,"Arte Brasileira ",NULL,8,1990,NULL,9,1990
80704,"Acervo Galeria São Paulo",19,8,1989,17,9,1989
80733,"Sérgio Fingermann: pinturas e gravuras",31,5,1996,4,8,1996
80747,"Individual de Ana Paula Oliveira ",1,8,2002,25,8,2002
80796,"Individual de Cleone Augusto",1,8,2002,25,8,2002
80859,"Rumos Itaú Cultural Artes Visuais. Tempo, Corpo, Corpo, Meio (2000 : Brasília, DF)",9,8,2000,22,9,2000
80947,"Cor e Luz",24,5,1994,5,6,1994
80955,"Rumos Itaú Cultural Artes Visuais. Tempo, Corpo, Corpo, Meio (2000 : Campinas, SP)",27,4,2000,16,6,2000
80966,"Out of Actions Between Performance and the Object: 1949-1979",8,2,1998,10,4,1998
80983,Desenhos,26,11,2003,30,12,2003
81022,"Academia dos Seletos",8,11,2002,16,3,2003
81047,"Rumos Itaú Cultural Artes Visuais. O Olhar em Movimento ",9,11,2000,22,12,2000
81064,"Rumos Itaú Cultural Artes Visuais. O Olhar em Movimento ",8,2,2001,16,3,2001
81117,"Tteia 1/C",8,11,2002,16,3,2003
81140,"48 Contemporâneos",7,2,1996,17,3,1996
81156,"Espaço e Sentido",5,9,2002,6,10,2002
81158,"Grupo Guanabara: 1950-1959",9,4,1992,26,4,1992
81218,"100 Anos com e sem John Cage: anônimo entra na sala ",5,9,2002,4,10,2002
81226,"A Gravura de Iberê Camargo: uma retrospectiva ",20,12,1990,17,2,1991
81229,"Individual de Antonio Lizarraga ",13,2,2003,16,3,2003
81232,"Canteiro de Obra ",8,11,2002,16,3,2003
81260,"Mamãe Ganso",27,3,2003,27,4,2003
81309,"Rumos Itaú Cultural Artes Visuais. Desconcertos da Forma",29,9,2000,10,11,2000
81337,"José Carlos BOI Cezar Ferreira: pinturas recentes",8,4,2006,6,5,2006
81338,"Individual de Magy Imoberdorf",4,2,2006,24,2,2006
81354,"Rumos Itaú Cultural Artes Visuais. Desconcertos da Forma (2000 : Belo Horizonte, MG)",26,6,2000,18,8,2000
81414,Olhai,11,4,2003,10,5,2003
81421,"Giochi D´Immagini",15,10,2002,31,10,2002
81466,"Rebolo 100 Anos",23,8,2002,6,10,2002
81483,"16º Salão de Arte Contemporânea de Santo André",8,4,1988,29,5,1988
81536,Logradouro,4,10,2002,26,1,2003
81552,"Homem e Natureza",29,8,1991,27,10,1991
81590,Latina,14,2,2014,22,3,2014
81604,"26º Salão de Arte Contemporânea de Santo André",17,4,1998,7,6,1998
81668,"Roberto Burle Marx: acervo Ymagos",23,6,2002,14,7,2002
81860,"Rio Hoje",25,10,1989,26,11,1989
81881,"Regular Coffee: o poder de um império",12,3,2003,30,4,2003
81922,Impermanência,11,9,2002,11,10,2002
81926,"O Engenheiro de Fábulas",4,10,2002,26,1,2003
81932,"Julia Székely, Eva Castiel e Agi Straus",19,1,1989,12,2,1989
81964,"25º Salão de Arte Contemporânea de Piracicaba",23,10,1993,21,11,1993
82006,"Projeto Mezanino de Fotografia. Contornos Sagrados (2003 : São Paulo, SP)",6,9,2003,12,10,2003
82117,"Anda Uma Coisa no Ar",8,11,2002,16,3,2003
82175,"Game is Over",7,10,2002,20,10,2002
82176,"Filandras ",7,10,2002,19,10,2002
82197,"Arte Brasileira Contemporânea",10,12,1996,20,12,1996
82348,"Nove Artistas",14,11,1992,5,12,1992
82386,"Flávio de Carvalho: 100 anos de um revolucionário romântico",5,8,1999,26,9,1999
82396,"32ª Anual de Artes Plásticas da Faap",13,11,2000,9,12,2000
82403,"Gravuras: Norma Mobilon e Simone Rebelo",21,6,2002,19,7,2002
82441,Territórios,12,11,2002,2,2,2003
82546,"Mulheres Gravadoras: uma homenagem à Edith Behring",29,4,1998,31,5,1998
82681,"Pluralidade da Arte Brasileira",6,2,2003,28,2,2003
82822,"Paisagens In-visíveis",30,8,2002,27,9,2002
82828,"Rumos Itaú Cultural Artes Visuais. Em Torno do Corpo",21,8,1999,17,9,1999
82836,"Rumos Itaú Cultural Artes Visuais. Em Torno do Corpo",27,9,1999,29,10,1999
83094,"Individual de Helen Faganello",12,9,2002,3,10,2002
83114,"O Outro Começa Onde Nossos Sentidos Encontram o Mundo",8,10,2002,1,12,2002
83225,"Individual de Rogério Degaki",9,6,2006,29,7,2006
83281,"Individual de Fernando Vilela ",12,9,2002,12,10,2002
83284,"15º Salão Arte Pará",NULL,NULL,1996,NULL,NULL,1996
83497,"Candido Portinari : exposição comemorativa 90 anos de nascimento",14,6,1993,9,7,1993
83678,"Individual de Ricardo Ventura",12,9,2002,30,9,2002
83684,"Individual de Felix Bressan",16,7,1998,8,8,1998
83735,"O Brasil na Visualidade Popular",25,9,2000,4,12,2000
83794,"50º Salão Paranaense",19,12,1993,19,2,1994
83859,"26º Panorama de Arte Brasileira",22,10,1999,10,12,1999
83865,"Individual de Mila Chiovatto",4,10,2002,8,11,2002
83939,"6º Salão Paulista de Arte Contemporânea",7,7,1988,13,7,1988
83950,"Amigos da Gravura 2002: Antonio Manuel",4,10,2002,11,12,2002
83951,Caixas-Objetos,4,10,2002,6,11,2002
83982,"Sub: homenagem a Pierre Vogel",13,3,2002,12,4,2002
83993,NUN,29,6,1995,3,8,1995
84022,"Trajetória: 50 anos de pintura de Flavio-Shiró (1994 : São Paulo, SP)",9,3,1994,17,4,1994
84058,"A Forma e a Imagem Técnica na Arte do Rio de Janeiro: 1950-1975",3,9,2002,5,10,2002
84097,"Arte Gaúcha Contemporânea",17,10,1991,10,11,1991
84115,"Investigações. Rumos Itaú Cultural Artes Visuais 1 ",20,2,2000,26,3,2000
84228,"43º Salão de Abril",4,8,1992,30,8,1992
84247,"Lírico Lúdico",11,9,2002,28,10,2002
84271,"Individual de Geraldo de Barros ",4,2,1993,14,3,1993
84303,Agosto,4,9,2002,28,9,2002
84340,"Pintura pelo Avesso",3,10,2002,26,10,2002
84392,"Individual de Marta Strambi",3,10,2002,26,10,2002
84411,"Individual de Jair Mendes",NULL,NULL,1994,NULL,NULL,1994
84428,"Brazilian Art Today ",NULL,9,1991,NULL,11,1991
84432,"Grupo Seibi ",26,6,1998,8,8,1998
84477,"Antônio Maluf: Arte Concreta Paulista",14,6,2002,21,7,2002
84600,Sidaids,7,11,2002,1,12,2002
84642,"43º Salão de Abril",7,7,1992,18,7,1992
84667,"48ª Bienal de Veneza ",NULL,6,1999,NULL,11,1999
84835,"Danilo Di Prete: 23 obras, anos 40/80 cinéticas e pinturas",27,10,1998,21,11,1998
84856,"Mundo Plano",10,9,2002,9,10,2002
84947,"Juan José Balzi: retrospectiva",5,6,1990,2,7,1990
85002,"Nelson Leirner: uma viagem...",21,5,1997,29,6,1997
85053,"A Recente Coleção do MAC ",14,9,2002,17,11,2002
85139,"12ª Mostra da Gravura de Curitiba. Marcas do Corpo, Dobras da Alma ",13,6,2000,6,8,2000
85143,"43º Salão de Abril",10,11,1992,26,11,1992
85185,"Arte Brasileira sobre Papel: séculos XIX e XX",30,9,2002,29,12,2002
85271,"12ª Mostra de Arte",13,11,2000,8,12,2000
85364,"Cento e Doze Dominós",11,9,2002,12,10,2002
85365,"Individual de Isabela Stampanoni",11,9,2002,12,10,2002
85449,"Unifor Plástica (11. : 1990 : Fortaleza, CE)",13,11,1990,13,12,1990
85465,"Guignard: uma seleção da obra do artista",8,10,1992,8,11,1992
85481,"49º Salão Paranaense",19,12,1992,15,2,1993
85600,"Regras do Jogo",10,9,2002,28,9,2002
85665,"O Grupo Santa Helena",4,5,1995,18,6,1995
85670,"Seis Artistas na 25ª Bienal de São Paulo",14,6,2002,20,7,2002
85703,"Território Expandido",19,5,1999,6,6,1999
85753,"4ª Bienal Naifs do Brasil ",9,10,1998,15,11,1998
85768,"Paisagens do Imaginário",15,6,2002,20,7,2002
85914,"Individual de Ernesto De Fiori ",1,10,1996,25,10,1996
85969,"3ª Bienal Naifs do Brasil",3,5,1996,31,5,1996
85989,"Individual de Edgard de Souza ",11,10,1994,11,11,1994
85994,"Rumos Itaú Cultural Artes Visuais. Desconcertos da Forma (2000 : Brasília, DF)",26,4,2000,2,6,2000
86041,"Wega Nery (1969 : Campo Grande, MS)",25,NULL,1989,15,9,1969
86080,"Wega Nery: pinturas (1989 : São Paulo, SP)",31,10,1989,21,11,1989
86098,"38º Salão de Abril",13,4,1988,27,5,1988
86262,"Espaço Aberto ",15,12,1999,15,1,1999
86280,"Arcangelo Ianelli: retrospectiva",8,10,2002,1,12,2002
86289,"Arte Naïf 2001",20,11,2001,24,12,2001
86292,"48º Salão Paranaense",19,12,1991,2,2,1992
86299,"Entre a Imagem e a Palavra: módulo 2",3,9,2002,26,10,2002
86305,"Década de Setenta ",12,3,1998,31,3,1998
86318,"Entre a Palavra e a Imagem: módulo 1",28,6,2002,24,8,2002
86319,"Unifor Plástica (10. : 1989 : Fortaleza, CE)",28,11,1989,21,12,1989
86393,"Preto no Branco e/ou...: desenhos",10,5,1994,19,6,1994
86440,"Auto-Retrato do Brasil",22,11,2007,24,2,2008
86454,"8ª Mostra do Desenho Brasileiro",23,6,1989,30,7,1989
86465,"43º Salão de Abril",13,4,1992,15,5,1992
86536,"12º Premio Internazionale Biella per L' Incisione",NULL,4,1993,NULL,5,1993
86547,"Arte Brasileira na Coleção Fadel: da inquietação do moderno à autonomia da linguagem",15,4,2003,1,6,2003
86564,"Enrica Bernardelli ",2,9,2002,28,9,2002
86590,"Herança do Japão: aspectos das artes visuais nipo-brasileiras",19,7,1988,7,8,1988
86969,"9ª Exposição Brasil-Japão de Arte Contemporânea",6,6,1990,9,6,1990
87002,"Albert Eckhout Volta ao Brasil: 1644-2003",9,4,2003,25,5,2003
87009,"Elisabeth Aro, Fábio Carvalho, Monica Barth e Sidney Philocreon",18,3,2002,12,4,2002
87011,"Via Sacra (1995 : Brasília, DF)",11,9,1995,30,9,1995
87026,"Connections Project/Conexus",1,3,1989,26,3,1989
87107,"51º Salão Paulista de Belas Artes",NULL,NULL,2000,NULL,NULL,2000
87188,"16º Salão Limeirense de Arte Contemporânea",9,9,1989,24,9,1989
87197,"46º Salão Paranaense",21,12,1989,25,2,1990
87233,"9ª Exposição Brasil-Japão de Arte Contemporânea ",18,5,1990,30,5,1990
87295,"Yutaka Toyota",26,9,2002,19,10,2002
87342,"Rumos Itaú Cultural Artes Visuais. Estranhamento (2002 : Curitiba, PR)",13,9,2002,20,10,2002
87345,"Das Naturezas",29,11,1988,23,12,1988
87353,"Op-Art - Ilusões do Olhar",16,4,2015,1,6,2015
87421,"Rumos Itaú Cultural Artes Visuais. Abertura e Ecos (2002 : Campinas, SP)",2,8,2002,4,10,2002
87433,"30 Artistas ",12,2,2004,31,3,2004
