id,nome,nome,dia_nasc,mes_nasc,ano_nasc,dia_morte,mes_morte,ano_morte
1,"Paulo Mendes de Almeida",masculino,1,2,1905,2,3,1986
2,"Suzana Barros",feminino,NULL,NULL,NULL,NULL,NULL,NULL
5,"Julia Miranda",feminino,NULL,NULL,NULL,NULL,NULL,NULL
10,"Aracy Amaral",feminino,22,2,1930,NULL,NULL,NULL
11,"Ana Maria de Moraes Belluzzo",feminino,NULL,NULL,NULL,NULL,NULL,NULL
20,"Geraldo Edson de Andrade",masculino,NULL,NULL,NULL,NULL,NULL,NULL
23,"Maria Helena Andrés",feminino,2,8,1922,NULL,NULL,NULL
28,"João da Cruz Vicente de Azevedo",masculino,NULL,NULL,NULL,NULL,NULL,NULL
45,"Antonio Dias",masculino,NULL,NULL,1944,1,8,2018
47,"Artur Barrio",masculino,1,2,1945,NULL,NULL,NULL
48,"Hélio Oiticica",masculino,26,7,1937,22,3,1980
52,"Carlos Lemos",masculino,NULL,NULL,1925,NULL,NULL,NULL
54,"Wendy Watriss",feminino,15,2,1943,NULL,NULL,NULL
55,"Waly Salomão",masculino,3,9,1943,5,5,2003
56,"Ivo Zanini",masculino,9,9,1929,NULL,NULL,NULL
59,"Monteiro Lobato",masculino,18,4,1882,4,7,1948
67,Francilins,masculino,6,3,1978,NULL,NULL,NULL
73,"Raymond Asseo",masculino,NULL,NULL,NULL,NULL,NULL,NULL
83,"Pietro Maria Bardi",masculino,21,2,1900,1,10,1999
128,"Marta Rossetti Batista",feminino,6,6,1940,31,5,2007
134,"Jacob Klintowitz",masculino,28,6,1941,NULL,NULL,NULL
139,"Alice Brill",feminino,13,12,1920,31,6,2013
146,"Quirino Campofiorito",masculino,7,9,1902,16,9,1993
172,"Henri Matisse",masculino,NULL,NULL,1869,NULL,NULL,1954
174,"Margarida Cintra Gordinho",feminino,NULL,NULL,NULL,NULL,NULL,NULL
182,"Fábio Sampaio",masculino,29,10,1971,NULL,NULL,NULL
184,"Luis R. Cancel",masculino,NULL,NULL,NULL,NULL,NULL,NULL
187,"Antônio Parreiras",masculino,20,1,1860,17,10,1937
190,"Lauro Cavalcanti",masculino,14,1,1954,NULL,NULL,NULL
192,"Ladi Biezus",masculino,NULL,NULL,NULL,NULL,NULL,NULL
201,Alvarus,masculino,27,1,1904,NULL,NULL,1985
203,"Angelo Agostini",masculino,8,4,1843,23,1,1910
213,"Dawn Ades",feminino,NULL,NULL,1943,NULL,NULL,NULL
226,"Marcel Gautherot",masculino,14,7,1910,8,10,1996
249,"Geraldo Ferraz",masculino,NULL,NULL,1905,NULL,NULL,1979
252,"Sérgio Milliet",masculino,20,9,1898,9,11,1966
253,"Aline Figueiredo",feminino,NULL,NULL,1946,NULL,NULL,NULL
275,"Adriana Rede","não cadastrado",NULL,NULL,NULL,NULL,NULL,NULL
281,"Gregório Gruber",masculino,NULL,NULL,1951,NULL,NULL,NULL
287,"Ferreira Gullar",masculino,10,9,1930,4,12,2016
291,"Fredi Kleemann",masculino,NULL,NULL,1927,NULL,NULL,1974
295,"Fernando Cocchiarale",masculino,NULL,NULL,1951,NULL,NULL,NULL
296,"Anna Bella Geiger",feminino,NULL,NULL,1933,NULL,NULL,NULL
297,"Waldemar Cordeiro",masculino,12,4,1925,30,6,1973
316,"Boris Kossoy",masculino,NULL,NULL,1941,NULL,NULL,NULL
318,"José Roberto Teixeira Leite",masculino,16,8,1930,NULL,NULL,NULL
341,"Lourival Gomes Machado",masculino,NULL,NULL,1917,17,3,1967
366,"Tito de Alencastro",masculino,5,7,1934,17,8,1999
368,"Antonio Manuel",masculino,NULL,NULL,1947,NULL,NULL,NULL
383,"Carlos Moskovics",masculino,NULL,NULL,1916,NULL,NULL,1988
400,"Frederico Morais",masculino,25,1,1936,NULL,NULL,NULL
401,"Claus Meyer",masculino,4,4,1944,NULL,NULL,1996
407,"Lew Parrella",masculino,NULL,NULL,1927,5,11,2014
408,"Paulo Ramos Machado",masculino,NULL,NULL,NULL,NULL,NULL,NULL
409,"Igor Marques",masculino,NULL,NULL,NULL,NULL,NULL,NULL
412,"Flávio Motta",masculino,2,10,1923,8,7,2016
430,"Veleida Pereira Fona",feminino,NULL,NULL,1927,NULL,NULL,NULL
431,"Oscar Niemeyer",masculino,15,12,1907,5,12,2012
432,"José Neistein",masculino,NULL,NULL,1934,NULL,NULL,NULL
435,"Fayga Ostrower",feminino,14,9,1920,13,9,2001
437,"Orlando Marques de Paiva","não cadastrado",NULL,NULL,NULL,NULL,NULL,NULL
444,"Israel Pedrosa",masculino,18,4,1926,7,2,2016
452,"Décio Pignatari",masculino,21,8,1927,2,12,2012
454,"Marcelo Eduardo Leite",masculino,NULL,NULL,NULL,NULL,NULL,NULL
461,"Luiz Marques",masculino,NULL,NULL,1952,NULL,NULL,NULL
463,"Roberto Pontual",masculino,NULL,NULL,1939,2,5,1994
464,"Gilberto Chateaubriand",masculino,NULL,NULL,1925,NULL,NULL,NULL
483,"Gerson Zanini",masculino,25,7,1945,NULL,NULL,NULL
490,"Pierre Restany",masculino,NULL,NULL,1930,29,5,2003
513,"Orlando DaSilva",masculino,4,6,1923,NULL,NULL,NULL
522,"Joaquim Paiva",masculino,23,3,1946,NULL,NULL,NULL
526,"Glaucia S. Cohn",feminino,NULL,NULL,NULL,NULL,NULL,NULL
531,"Nellie Solitrenick",feminino,NULL,NULL,NULL,NULL,NULL,NULL
533,"Giovana Moriconi",feminino,NULL,NULL,NULL,NULL,NULL,NULL
537,"Armindo Trevisan",masculino,6,9,1933,NULL,NULL,NULL
547,"Walter Zanini",masculino,21,5,1925,29,1,2013
548,"Wilton Azevedo",masculino,11,5,1958,NULL,NULL,NULL
550,"Matilde Matos",feminino,NULL,NULL,NULL,NULL,NULL,NULL
557,"César Luís Pires de Mello",masculino,NULL,NULL,NULL,NULL,NULL,NULL
573,"Icléia Cattani",feminino,NULL,NULL,NULL,NULL,NULL,NULL
575,"Paulo Herkenhoff",masculino,NULL,NULL,1949,NULL,NULL,NULL
577,"Wilson Coutinho",masculino,NULL,NULL,1947,3,8,2003
592,"Zig Koch",masculino,NULL,NULL,1926,NULL,NULL,NULL
598,"Maria Luísa",feminino,NULL,NULL,1919,NULL,NULL,NULL
601,"Dominique Edouard Baechler",masculino,NULL,NULL,NULL,NULL,NULL,NULL
604,Dolino,masculino,NULL,NULL,1945,NULL,NULL,NULL
609,"Sonia von Brüsky",feminino,NULL,NULL,1941,NULL,NULL,NULL
