Tipo de Arquivo,Nome,Título,Legenda,Local,Data,Tipo,Fotógrafo,Notas,Créditos,Fonte,Tipo de Licença,Formato,Resolução Horizontal,Resolução Vertical,Dimensões da Foto,Dimensões do Objeto,Link
Imagem,Aline_001,"Parte frontal da medalha de prata dos Jogos Olímpicos de Atenas, 2004","Medalha de Prata dos Jogos Olímpicos de Atenas de 2004, conquistada pela Seleção Brasileira de Futebol Feminino. Essa foi a primeira final olímpica da Seleção Feminina desde a entrada da modalidade nas Olimpíadas.","Atenas, Grécia",2004,Objeto,Rogério Alonso,"Este objeto pertence a Aline Pelegrino e integrou a exposição temporária do Museu do Futebol ""CONTRA-ATAQUE! As Mulheres do Futebol"", de 2019.",Acervo Aline Pellegrino | Foto Rogério Alonso,Museu do Futebol,CC-BY-SA,JPEG,240 dpi,240 dpi,3813 x 4535,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/708404,Parte%20frontal%20da%20medalha%20de%20prata%20dos%20Jogos%20Ol%C3%ADmpicos%20de%20Atenas,%202004"
Imagem,Aline_002,"Verso da medalha de prata dos Jogos Olímpicos de Atenas, 2004","Medalha de Prata dos Jogos Olímpicos de Atenas de 2004, conquistada pela Seleção Brasileira de Futebol Feminino. Essa foi a primeira final olímpica da Seleção Feminina desde a entrada da modalidade nas Olimpíadas.","Atenas, Grécia",2004,Objeto,Rogério Alonso,"Este objeto pertence a Aline Pelegrino e integrou a exposição temporária do Museu do Futebol ""CONTRA-ATAQUE! As Mulheres do Futebol"", de 2019.",Acervo Aline Pellegrino | Foto Rogério Alonso,Museu do Futebol,CC-BY-SA,JPEG,240 dpi,240 dpi,3813 x 4535,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726628,Verso%20da%20medalha%20de%20prata%20dos%20Jogos%20Ol%C3%ADmpicos%20de%20Atenas,%202004"
Imagem,Aline_003,Aline Pellegrino com uniforme do Corinthians,"Aline Pellegrino no começo de sua carreira como atleta, com o uniforme do Corinthians.","São Paulo, SP",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1160 x 1760,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/713405,Aline%20Pellegrino%20com%20uniforme%20do%20Corinthians"
Imagem,Aline_004,Jogadoras da Seleção Brasileira posam para foto,Jogadoras da Seleção Brasileira Feminina posam para fotografia.,0,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1800 x 1200,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726645,Jogadoras%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20posam%20para%20foto"
Imagem,Aline_005,Jogadoras da Seleção Brasileira posam para foto no vestiário,"Em um vestiário, jogadoras da Seleção Brasileira Feminina de Futebol posam para fotografia.",0,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1792 x 1168,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726663,Jogadoras%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20posam%20para%20foto%20no%20vesti%C3%A1rio"
Imagem,Aline_006,"Aline Pellegrino posa para foto nas Olimpíadas de Atenas, 2004","Aline Pellegrino posa para fotografia durante as Olimpíadas de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1769 x 1148,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726676,Aline%20Pellegrino%20posa%20para%20foto%20nas%20Olimp%C3%ADadas%20de%20Atenas,%202004"
Imagem,Aline_007,Atletas da Seleção Brasileira de Futebol Feminino posam para foto,Jogadoras da Seleção Brasileira Feminina posam para foto.,0,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1207 x 1794,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726691,Atletas%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20de%20Futebol%20Feminino%20posam%20para%20foto"
Imagem,Aline_008,Jogadoras da Seleção Brasileira de Futebol Feminino posam para foto        ,Jogadoras da Seleção Brasileira de Futebol Feminino posam para foto.,0,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1777 x 1185,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726704,Jogadoras%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20de%20Futebol%20Feminino%20posam%20para%20foto"
Imagem,Aline_009,"Aline Pellegrino posa para foto em Atenas, 2004","Durante passeio pela cidade de Atenas, Grécia, a jogadora Aline Pellegrino posa para foto.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1777 x 1184,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726718,Aline%20Pellegrino%20posa%20para%20foto%20em%20Atenas,%202004"
Imagem,Aline_010,"Jogadoras da Seleção Brasileira durante passeio em Atenas, 2004","Jogadoras da Seleção Brasileira Feminina posam para foto durante as Olimpíadas de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1769 x 1170,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726732,Jogadoras%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20durante%20passeio%20em%20Atenas,%202004"
