Tipo de Arquivo,Nome,Título,Local,Data,Tipo,Fotógrafo,Descrição,Créditos,Fonte,Tipo de Licença,Formato,Resolução Horizontal,Resolução Vertical,Dimensões da Foto,Dimensões do Objeto
Imagem,DSC_6490,"Parte frontal da medalha de prata dos Jogos Olímpicos de Atenas, 2004.","São Paulo, SP",2019,Objeto,Rogério Alonso,"Este objeto percente a Aline Pelegrino e integrou a exposição temporária do Museu do Futebol ""CONTRA-ATAQUE! As Mulheres do Futebol"", de 2019.",Acervo Aline Pellegrino | Foto Rogério Alonso,Museu do Futebol,CC-BY-SA,JPEG,240 dpi,240 dpi,3813 x 4535,0
Imagem,DSC_6492,"Verso da medalha de prata dos Jogos Olímpicos de Atenas, 2004.","São Paulo, SP",2019,Objeto,Rogério Alonso,"Este objeto percente a Aline Pelegrino e integrou a exposição temporária do Museu do Futebol ""CONTRA-ATAQUE! As Mulheres do Futebol"", de 2019.",Acervo Aline Pellegrino | Foto Rogério Alonso,Museu do Futebol,CC-BY-SA,JPEG,240 dpi,240 dpi,3813 x 4535,0
Imagem,ju_cabral013,"Crachá de passe livre de Juliana Cabral da Copa do Mundo de Futebol Feminino dos Estados Unidos, 1999.","São Paulo, SP",2015,Objeto,Autor desconhecido.,A fotografia integra o acervo do Museu do Futebol. Acervo pessoal Juliana Cabral.,Acervo Juliana Cabral | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2262 x 3476,0
Imagem,ju_cabral014,"Ingresso da cerimônia de abertura da Copa do Mundo de Futebol Feminino de 1999, disputada nos Estados Unidos.","São Paulo, SP",2015,Objeto,Autor desconhecido.,A fotografia integra o acervo do Museu do Futebol. Acervo pessoal Juliana Cabral.,Acervo Juliana Cabral | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2048 x 1203,0
Imagem,ju_cabral015,"Ingresso da disputa pelo terceiro lugar da Copa do Mundo de Futebol Feminino de 1999, Estados Unidos.","São Paulo, SP",2015,Objeto,Autor desconhecido.,A fotografia integra o acervo do Museu do Futebol. Acervo pessoal Juliana Cabral.,Acervo Juliana Cabral | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3466 x 1337,0
Imagem,ju_cabral019,"Braçadeiras de capitã usadas por Juliana Cabral na conquista da medalha de prata dos Jogos Olímpicos de Atenas, 2004.","São Paulo, SP",2015,Objeto,Autor desconhecido.,A fotografia integra o acervo do Museu do Futebol. Acervo pessoal Juliana Cabral.,Acervo Juliana Cabral | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,4149 x 6832,0
Imagem,ju_cabral114,"Ingresso dos jogos Argentina x Colômbia e Peru x Brasil. IV Campeonato Sul-Americano de Futebol Feminino, Peru, 2003.","São Paulo, SP",2015,Objeto,Autor desconhecido.,A fotografia integra o acervo do Museu do Futebol. Acervo pessoal Juliana Cabral.,Acervo Juliana Cabral | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2677 x 1831,0
Imagem,DSC_6343,Flâmula do E.C. Radar.,"São Paulo, SP",2019,Objeto,Rogério Alonso,"Este objeto percente a Leda Maria e integrou a exposição temporária do Museu do Futebol ""CONTRA-ATAQUE! As Mulheres do Futebol"", de 2019.",Acervo Leda Maria | Foto Rogério Alonso,Museu do Futebol,CC-BY-SA,JPEG,240 dpi,240 dpi,3948 x 4724,"24 x 20,3 cm"
Imagem,DSC_6398,"Moedas comemorativas lançadas na Copa do Mundo de Futebol Feminino. China, 1991.","São Paulo, SP",2019,Objeto,Rogério Alonso,"Este objeto percente a Márcia Taffarel e integrou a exposição temporária do Museu do Futebol ""CONTRA-ATAQUE! As Mulheres do Futebol"", de 2019.",Acervo Márcia Taffarel | Foto Rogério Alonso,Museu do Futebol,CC-BY-SA,JPEG,240 dpi,240 dpi,3342 x 4724,"Medida com embalagem: 10 x 6,6 cm "
Imagem,DSC_6406,"Medalha de participação da Copa do Mundo de Futebol Feminino. China, 1991.","São Paulo, SP",2019,Objeto,Rogério Alonso,"Este objeto percente a Márcia Taffarel e integrou a exposição temporária do Museu do Futebol ""CONTRA-ATAQUE! As Mulheres do Futebol"", de 2019.",Acervo Márcia Taffarel | Foto Rogério Alonso,Museu do Futebol,CC-BY-SA,JPEG,240 dpi,240 dpi,3388 x 4724,"Apenas a medalha 3,5 x 3,5 cm; Caixa aberta (90º) 7,9 x 6,5 x 7 cm; 
Caixa aberta (180º) 12,6 x 6,5 x 1,5 cm"
